Event, Details, Time(s)
 Start, 15/06/2025 15:07:28, 0.2205566 
 Cashout, Response Time: 0.2166443, Response: {"status":"ok","data":{"wallet":6720.136878601021,"playLevel":200,"bonus":0,"freebet":false,"deviceId":"684b55eff20ab3001efa6071","cashierId":"671e9e60b1418c7fd2eeb8cf","playerId":2,"superAgentId":"6708d877f86545dd1d64ae0f","createdAt":"2025-06-12T22:36:11.709Z","id":"684b565bb84283001eb2f607"}}, 307.0139 
 Cashout, Response Time: 0.2333374, Response: {"status":"ok","data":{"wallet":6826.033,"playLevel":200,"bonus":385,"freebet":true,"deviceId":"684b55eff20ab3001efa6071","cashierId":"671e9e60b1418c7fd2eeb8cf","playerId":8,"superAgentId":"6708d877f86545dd1d64ae0f","createdAt":"2025-06-14T18:59:47.269Z","id":"684dc6a3d4760e0022946e80"}}, 310.9305 

 drop-jackpot, {"playerId":3,"jackpotAmount":1000,"jackpotType":"Silver"}, 318.897 
 DropJackpot Successfull, Jackpot sent to Player: 3, 318.9137 
 drop-jackpot, {"playerId":5,"jackpotAmount":1000,"jackpotType":"Bronze"}, 319.3303 
 DropJackpot Successfull, Jackpot sent to Player: 5, 319.3637 
 PlaceBet, Response Time: 0.2333374, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"1106309472","betType":"single","playerId":"6","roundId":"17500015467917839","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:33:02.858Z","id":"684ee7ae1e2d2d001286545f"}}, 323.1803 
 PlaceBet, Response Time: 0.2166748, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"8633193336","betType":"single","playerId":"5","roundId":"17500015467917839","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:33:03.086Z","id":"684ee7afa445b30010712032"}}, 323.4136 
 PlaceBet, Response Time: 0.25, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"3477187599","betType":"single","playerId":"2","roundId":"17500015467917839","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:33:03.235Z","id":"684ee7aff88c19000e0e4c0f"}}, 323.5469 
 PlaceBet, Response Time: 0.2333374, Response: {"status":"error"}, 324.6469 
 PlaceBet Status Not OK, response: {"status":"error"}, 324.6469 
 PlaceBet, Response Time: 0.2000122, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"7440446465","betType":"single","playerId":"4","roundId":"17500015467917839","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:33:04.722Z","id":"684ee7b09a25680011fdcae0"}}, 325.0469 
 PlaceBet, Response Time: 0.1999817, Response: {"status":"ok","data":{"freebet":true,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":30.1,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"5886334771","betType":"single","playerId":"8","roundId":"17500015467917839","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:33:05.014Z","id":"684ee7b199ab710014279861"}}, 325.3302 
 PlaceBet, Response Time: 0.2833252, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":100,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"3704989383","betType":"single","playerId":"1","roundId":"17500015467917839","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:33:05.140Z","id":"684ee7b12610d8001c2481d7"}}, 325.4636 
 PlaceBet, Response Time: 0.2000122, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":2000,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"4977363112","betType":"single","playerId":"3","roundId":"17500015467917839","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:33:05.493Z","id":"684ee7b154d4fc0012c67eb9"}}, 325.8136 
 Cashout, Response Time: 0.2166443, Response: {"status":"ok","data":{"wallet":13558.345833972984,"playLevel":200,"bonus":550,"freebet":false,"deviceId":"684b55eff20ab3001efa6071","cashierId":"671e9e60b1418c7fd2eeb8cf","playerId":4,"superAgentId":"6708d877f86545dd1d64ae0f","createdAt":"2025-06-12T22:36:13.499Z","id":"684b565d95dd5c0010284e41"}}, 330.1302 

 PlaceBet, Response Time: 0.2167053, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"1817961731","betType":"single","playerId":"6","roundId":"17500015574299082","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:33:16.482Z","id":"684ee7bce06cea00132f4d0a"}}, 336.8134 
 PlaceBet, Response Time: 0.1833496, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"2609675641","betType":"single","playerId":"4","roundId":"17500015574299082","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:33:16.784Z","id":"684ee7bc65328c00105ed9ed"}}, 337.0967 
 PlaceBet, Response Time: 0.2666931, Response: {"status":"error"}, 337.2467 
 PlaceBet Status Not OK, response: {"status":"error"}, 337.2467 
 PlaceBet, Response Time: 0.2166443, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"9483777672","betType":"single","playerId":"2","roundId":"17500015574299082","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:33:17.640Z","id":"684ee7bdcbd1e400107d0064"}}, 337.9634 
 PlaceBet, Response Time: 0.3166809, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":100,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"3147546634","betType":"single","playerId":"1","roundId":"17500015574299082","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:33:17.751Z","id":"684ee7bdf97b90000ef73b2f"}}, 338.08 
 PlaceBet, Response Time: 0.1999817, Response: {"status":"ok","data":{"freebet":true,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":30.1,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"2069373658","betType":"single","playerId":"8","roundId":"17500015574299082","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:33:18.027Z","id":"684ee7be43845d001da681f7"}}, 338.3467 
 PlaceBet, Response Time: 0.3000183, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":2000,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"3462923835","betType":"single","playerId":"3","roundId":"17500015574299082","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:33:18.149Z","id":"684ee7be54d4fc0012c67eda"}}, 338.4634 
 PlaceBet, Response Time: 0.1999817, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"6538691976","betType":"single","playerId":"5","roundId":"17500015574299082","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:33:18.183Z","id":"684ee7be88a8b9001ecbc108"}}, 338.4967 
 Cashout, Response Time: 0.1999817, Response: {"status":"ok","data":{"wallet":10621.438,"playLevel":100,"bonus":550,"freebet":false,"deviceId":"684b55eff20ab3001efa6071","cashierId":"671e9e60b1418c7fd2eeb8cf","playerId":1,"superAgentId":"6708d877f86545dd1d64ae0f","createdAt":"2025-06-12T22:36:11.225Z","id":"684b565bb84283001eb2f601"}}, 349.2798 
 Cashout, Response Time: 0.1999817, Response: {"status":"ok","data":{"wallet":18236.391,"playLevel":200,"bonus":550,"freebet":false,"deviceId":"684b55eff20ab3001efa6071","cashierId":"671e9e60b1418c7fd2eeb8cf","playerId":5,"superAgentId":"6708d877f86545dd1d64ae0f","createdAt":"2025-06-12T22:44:57.115Z","id":"684b58692b2345000ebc9e62"}}, 352.1631 

 drop-jackpot, {"playerId":2,"jackpotAmount":1000,"jackpotType":"Gold"}, 353.3631 
 DropJackpot Successfull, Jackpot sent to Player: 2, 353.3798 
 PlaceBet, Response Time: 0.2000122, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"9909184579","betType":"single","playerId":"5","roundId":"17500015811047032","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:33:36.671Z","id":"684ee7d0fbf2f900115d7bca"}}, 356.9964 
 PlaceBet, Response Time: 0.1999817, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":100,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"1806627580","betType":"single","playerId":"1","roundId":"17500015811047032","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:33:36.863Z","id":"684ee7d0b808fe00182d5505"}}, 357.1797 
 PlaceBet, Response Time: 0.25, Response: {"status":"error"}, 357.2631 
 PlaceBet Status Not OK, response: {"status":"error"}, 357.2631 
 PlaceBet, Response Time: 0.2666626, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"7856029527","betType":"single","playerId":"6","roundId":"17500015811047032","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:33:36.964Z","id":"684ee7d09fd0ea0010c55ae1"}}, 357.2798 
 PlaceBet, Response Time: 0.2000122, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"8089912094","betType":"single","playerId":"4","roundId":"17500015811047032","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:33:37.181Z","id":"684ee7d12610d8001c2481f2"}}, 357.4964 
 PlaceBet, Response Time: 0.3499756, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"5586973149","betType":"single","playerId":"8","roundId":"17500015811047032","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:33:37.370Z","id":"684ee7d1e2aef600153cdebd"}}, 357.6964 
 PlaceBet, Response Time: 0.2000122, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":2000,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"8618740294","betType":"single","playerId":"3","roundId":"17500015811047032","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:33:39.798Z","id":"684ee7d38623d70014707a2f"}}, 360.1131 
 Cashout, Response Time: 0.2166748, Response: {"status":"ok","data":{"wallet":13384.345833972984,"playLevel":200,"bonus":550,"freebet":false,"deviceId":"684b55eff20ab3001efa6071","cashierId":"671e9e60b1418c7fd2eeb8cf","playerId":4,"superAgentId":"6708d877f86545dd1d64ae0f","createdAt":"2025-06-12T22:36:13.499Z","id":"684b565d95dd5c0010284e41"}}, 363.363 

 PlaceBet, Response Time: 0.2166748, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"5872178314","betType":"single","playerId":"6","roundId":"17500015938464870","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:33:53.344Z","id":"684ee7e1af71fd0011794737"}}, 373.6628 
 PlaceBet, Response Time: 0.1999817, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"8698022476","betType":"single","playerId":"8","roundId":"17500015938464870","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:33:53.874Z","id":"684ee7e1a0c4ad000f0ba8d7"}}, 374.1962 
 PlaceBet, Response Time: 0.2166748, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":100,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"3374727505","betType":"single","playerId":"1","roundId":"17500015938464870","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:33:54.228Z","id":"684ee7e238910f00136b3d59"}}, 374.5462 
 PlaceBet, Response Time: 0.2166748, Response: {"status":"ok","data":{"freebet":true,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":30.1,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"9775987009","betType":"single","playerId":"5","roundId":"17500015938464870","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:33:54.845Z","id":"684ee7e2015875000f6d355c"}}, 375.1628 
 PlaceBet, Response Time: 0.3166504, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"1543606007","betType":"single","playerId":"2","roundId":"17500015938464870","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:33:55.004Z","id":"684ee7e343845d001da68213"}}, 375.3295 
 PlaceBet, Response Time: 0.1999817, Response: {"status":"error"}, 375.8961 
 PlaceBet Status Not OK, response: {"status":"error"}, 375.8961 
 PlaceBet, Response Time: 0.2166443, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":2000,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"2370359917","betType":"single","playerId":"3","roundId":"17500015938464870","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:33:56.126Z","id":"684ee7e4e9cc440010e369fd"}}, 376.4461 
 PlaceBet, Response Time: 0.2166748, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"7883991227","betType":"single","playerId":"4","roundId":"17500015938464870","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:33:56.623Z","id":"684ee7e443845d001da6822e"}}, 376.9461 

 Cashout, Response Time: 0.2499695, Response: {"status":"ok","data":{"wallet":18051.14,"playLevel":200,"bonus":550,"freebet":false,"deviceId":"684b55eff20ab3001efa6071","cashierId":"671e9e60b1418c7fd2eeb8cf","playerId":5,"superAgentId":"6708d877f86545dd1d64ae0f","createdAt":"2025-06-12T22:44:57.115Z","id":"684b58692b2345000ebc9e62"}}, 381.8794 
 PlaceBet, Response Time: 0.2000122, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":100,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"5806900625","betType":"single","playerId":"1","roundId":"17500016156285096","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:34:05.543Z","id":"684ee7ed0cf8930011a5808f"}}, 385.8627 
 PlaceBet, Response Time: 0.2000122, Response: {"status":"ok","data":{"freebet":true,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":30.1,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"6764751608","betType":"single","playerId":"8","roundId":"17500016156285096","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:34:06.815Z","id":"684ee7ee54d4fc0012c67ef7"}}, 387.1293 
 PlaceBet, Response Time: 0.1999817, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"3745080840","betType":"single","playerId":"2","roundId":"17500016156285096","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:34:07.063Z","id":"684ee7ef9a25680011fdcafb"}}, 387.3793 
 PlaceBet, Response Time: 0.2000122, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":2000,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"9777908386","betType":"single","playerId":"3","roundId":"17500016156285096","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:34:07.521Z","id":"684ee7eff88c19000e0e4c2c"}}, 387.846 
 PlaceBet, Response Time: 0.1999817, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"8967174181","betType":"single","playerId":"6","roundId":"17500016156285096","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:34:07.853Z","id":"684ee7efc58c2600233f8588"}}, 388.1793 
 PlaceBet, Response Time: 0.2166443, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"6486135272","betType":"single","playerId":"5","roundId":"17500016156285096","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:34:08.587Z","id":"684ee7f0c8b47e0013945f3a"}}, 388.9126 
 PlaceBet, Response Time: 0.2333374, Response: {"status":"error"}, 389.5626 
 PlaceBet Status Not OK, response: {"status":"error"}, 389.5626 
 PlaceBet, Response Time: 0.25, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"9409691228","betType":"single","playerId":"4","roundId":"17500016156285096","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:34:09.318Z","id":"684ee7f154d4fc0012c67f13"}}, 389.6626 
 Cashout, Response Time: 0.2166443, Response: {"status":"ok","data":{"wallet":7158.136878601021,"playLevel":200,"bonus":0,"freebet":false,"deviceId":"684b55eff20ab3001efa6071","cashierId":"671e9e60b1418c7fd2eeb8cf","playerId":2,"superAgentId":"6708d877f86545dd1d64ae0f","createdAt":"2025-06-12T22:36:11.709Z","id":"684b565bb84283001eb2f607"}}, 392.5459 

 PlaceBet, Response Time: 0.1999817, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"5926846606","betType":"single","playerId":"5","roundId":"17500016318887586","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:34:22.060Z","id":"684ee7fed217e8001a55d0fe"}}, 402.3791 
 PlaceBet, Response Time: 0.1999817, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"4768789754","betType":"single","playerId":"8","roundId":"17500016318887586","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:34:22.294Z","id":"684ee7fee7a25e0010f0092c"}}, 402.6124 
 PlaceBet, Response Time: 0.2833557, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"2600014993","betType":"single","playerId":"4","roundId":"17500016318887586","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:34:22.401Z","id":"684ee7fefd4604001abaa2d2"}}, 402.7291 
 PlaceBet, Response Time: 0.2666931, Response: {"status":"ok","data":{"freebet":true,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":30.1,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"1413233558","betType":"single","playerId":"1","roundId":"17500016318887586","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:34:22.404Z","id":"684ee7fe769eb8001a50c795"}}, 402.7291 
 PlaceBet, Response Time: 0.2500305, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"3939141455","betType":"single","playerId":"6","roundId":"17500016318887586","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:34:23.426Z","id":"684ee7ff8b36a60013367bc1"}}, 403.7957 
 PlaceBet, Response Time: 0.2333069, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":2000,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"8485837708","betType":"single","playerId":"3","roundId":"17500016318887586","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:34:24.618Z","id":"684ee80018ae0c000d84e6eb"}}, 404.9624 
 PlaceBet, Response Time: 0.25, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"5827763894","betType":"single","playerId":"2","roundId":"17500016318887586","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:34:24.867Z","id":"684ee8003095f500148080d9"}}, 405.229 
 PlaceBet, Response Time: 0.2666626, Response: {"status":"error"}, 405.3123 
 PlaceBet Status Not OK, response: {"status":"error"}, 405.3123 

 PlaceBet, Response Time: 0.25, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":100,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"6678933070","betType":"single","playerId":"1","roundId":"17500016445219418","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:34:32.011Z","id":"684ee8082610d8001c24820e"}}, 412.379 
 PlaceBet, Response Time: 0.2000122, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"5461677567","betType":"single","playerId":"4","roundId":"17500016445219418","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:34:32.948Z","id":"684ee808fbf2f900115d7beb"}}, 413.2623 
 PlaceBet, Response Time: 0.2166748, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"3567758556","betType":"single","playerId":"2","roundId":"17500016445219418","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:34:33.735Z","id":"684ee809e2aef600153cded8"}}, 414.0623 
 PlaceBet, Response Time: 0.2000122, Response: {"status":"ok","data":{"freebet":true,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":30.1,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"6479289428","betType":"single","playerId":"3","roundId":"17500016445219418","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:34:34.061Z","id":"684ee80a43845d001da68251"}}, 414.3789 
 PlaceBet, Response Time: 0.333313, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"4894344427","betType":"single","playerId":"8","roundId":"17500016445219418","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:34:34.194Z","id":"684ee80a4f7b68000e7cb026"}}, 414.5789 
 PlaceBet, Response Time: 0.2999878, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"5831009314","betType":"single","playerId":"6","roundId":"17500016445219418","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:34:34.509Z","id":"684ee80a43845d001da6826b"}}, 414.8289 
 PlaceBet, Response Time: 0.3166809, Response: {"status":"error"}, 414.8956 
 PlaceBet Status Not OK, response: {"status":"error"}, 414.8956 
 PlaceBet, Response Time: 0.2832947, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"8807003819","betType":"single","playerId":"5","roundId":"17500016445219418","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:34:34.705Z","id":"684ee80ad354ca00209ed762"}}, 415.0455 
